Date,User ID,Item ID_tourist,Item_name,Item_city,Review Text,Travel History,Item Review,Review,Ratings_combined,Item_category_combined,Province,City,Sentiment_Score,Month,YearMonth,User_Segment,Preferred_Province,activity_level,activity_segment,City_Sentiment_Score,Avg_City_Sentiment_Score
19/10/2022,USER-A305,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),"a historical site named the twelve springs of prophet moses as can be found in saudi arabias maqna valley

prophet moses is supposed to have visited one of these wells after he arrived at maqna after passing the red sea

maqna is a charming coastal town that faces egypt and the sinai mountains which are easily visible from there it is situated on the gulf of aqaba

however the town is well known for the wells that were present when a significant event in the life of the prophet moses occurred

duration 8 hours 7 minutes if average speed speed is 87kmhr from yanbu industrial city

different units 70462 km",Jamaraat Bridge,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.9022,2022-10,2022-10,Low Activity,Tabuk Province,2,Low,0.9022,0.51865
12/7/2022,USER-A306,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),amazing  but most of the people doesnt care about the place trash everywhere ,Miqat Masjid,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,-0.2598,2022-07,2022-07,Low Activity,Tabuk Province,1,Low,-0.2598,0.51865
11/7/2022,USER-A307,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),one year ago when we had our hajj holiday adventure in magna tabuk in arabian peninsula here you could witness the wild red sea wildering within the 12 springs and the 70 palm trees which are located 1 hour from  to the split rock of horeb along the way were a group of camels,Miqat Masjid,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.6124,2022-07,2022-07,Low Activity,Tabuk Province,1,Low,0.6124,0.51865
11/7/2022,USER-A308,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),one year ago when we had our hajj holiday adventure in magna tabuk in arabian peninsula here you could witness the wild red sea wildering within the 12 springs and the 70 palm trees which are located 1 hour from  to the split rock of horeb along the way were a group of camels,Miqat Masjid,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.6124,2022-07,2022-07,Low Activity,Tabuk Province,1,Low,0.6124,0.51865
10/7/2022,USER-A309,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),this place is 30km from madyan valley its famous because of 12 different water fountain from different side of same mountain beautiful place to visit as well as its a best picnic palce also for families,Miqat Masjid,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.8807,2022-07,2022-07,Low Activity,Tabuk Province,3,Low,0.8807,0.51865
14/5/2022,USER-A310,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),"its a really beautiful place
you will see something that you have never seen in your life you wont believe what you see must visit",Miqat Masjid,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.6361,2022-05,2022-05,Low Activity,Tabuk Province,1,Low,0.6361,0.51865
28/3/2022,USER-A311,A-26,12 Springs of Prophet Moses (A.S.) - Tabuk Province,12 Springs of Prophet Moses (A.S.),"if you are in tabouk you must visit this 
there is no entry restrictions in this place and completely free
good parking space
you can feel the history 12 springs of prophet moses",Miqat Masjid,no review provided,no review provided,4.8,Natural Landscapes,Tabuk Province,Tabuk,0.6779,2022-03,2022-03,Low Activity,Tabuk Province,1,Low,0.6779,0.51865
28/2/2023,USER-A460,A-39,A Trip To The Edge of The World - Riyadh Province,Edge of the World Saudi Arabia,my friend and i went to this tour last week and we had a blast our tour guides were great friendly service was amazing and this place is absolutely must visit i recommend it to everyone who is coming to riyadh you wont regret it,Wadi Disah Saudi Arabia,no review provided,no review provided,4.7,Natural Landscapes,Riyadh Province,Riyadh,0.9607,2023-02,2023-02,Low Activity,Riyadh Province,1,Low,0.9607,0.923483333
27/1/2023,USER-A461,A-39,A Trip To The Edge of The World - Riyadh Province,Edge of the World Saudi Arabia,i had an amazing tour to the edge of the world fun and extreme but safe,Wadi Disah Saudi Arabia,no review provided,no review provided,4.7,Natural Landscapes,Riyadh Province,Riyadh,0.8126,2023-01,2023-01,Low Activity,Riyadh Province,1,Low,0.8126,0.923483333
23/1/2023,USER-A462,A-39,A Trip To The Edge of The World - Riyadh Province,Edge of the World Saudi Arabia,"first the good omer abdulamen and mohammed were the drivers and omer the guide  omer speaks great english as does mohammed

omer is a terrific driver you will need this as the roads are worthy of a good 4x4 with good shocks and wide range steering  skills

omer is responsive to text within the hour and once you sign on hes communicative back within minutes

i signed on for a private tour through my hotel the mandarin oriental i did not get that  it ended up being a group with 3 other people  my driver guide was 40 minutes late  this was probably the fault of the hotel concierge more than ghazi tours

now why the 4 stars actually for my driver guide it would be 1 star 1 for just being present while i appreciated the additional cars aka a small caravan for safety i didnt appreciate the lack of 11 care  after all the pricing was for 11  again this could be the hotel or ghazi

it turned out my driverguide worked for ghazi and directly under omer

as part of the pack now we trooped through for photo ops and listened as one would at a flag waving group schpeel  not really what i paid for  and i was treated as leftover bread as i was through the hotel and not direct with ghazi

the car i got lacked a good driver omer was not my driver  at one point the car i was in slid back and tilted precariously to one side omer had to jump in to get the car up the hill  while i appreciated the friendliness of my driver i didnt appreciate the fact he spoke little english didnt know anything about anything not even the ability to translate mashallah

i also didnt appreciate my driverguides lack of awareness and inexperience  for example water and juices are stuffed to the side of the car so you get hot orange juice

inability to tell you where the bathroom is and the fact to forewarn you that the bathrooms lack toilet paper

at the tour sites my driverguide stuffed his hands in his pockets and wandered off  then telling me its his first time at this one place too totally lack of any service  and ghaziomer wasnt responsible for me directly even though my driverguide worked for omer

at a local touristy restaurant my driver guide sat without uttering a word he left to get the car without telling me leaving me to wonder whether i should get an uber  no communication  at the end omer had an emergency left and his guest the other person climbed into my car and was told to be dropped off first

again i was treated as yesterdays stale bread

the car after the restaurant was filthy for some odd reasons  empty bottles of water and orange juices strewn all about  sticky mess in the back

then my driver guide dropped me off at the wrong hotel  he dropped me at the namesake office building across the way  i made my own way back

i gave omer 50 usd tip even though i wasnt his prime guest  50 usd tip for my lazy incompetent driverguide  why because as an american i want them to appreciate we arent all jerks and hopefully they will improve their service

i left my phone cable in my driver guides car  omer dropped his own for me the next day at 830am  i very much appreciated that although i just wanted my own back but i appreciated i got a phone cable

i paid 1500sar through the hotel for what was to be a private tour which wasnt i will bring that up with the mandarin but doubt it will have any impact omer has his own rates so advice go to him ghazi tour direct

more advice whatever you end up doing it will end up as a group tour with ghazi  thats not so bad and in fact i enjoyed the small group  just dont pay for a private and expect a private tour and demand a car with good shocks good tires and competent driver and guide

dont get the driverguide and car that i had you might as well just ride with omer  your back with thank you your tail bone will thank you and you will get back to your own hotel

last bring a packet of tissue paper and make sure your guide knows something about the sites",Wadi Disah Saudi Arabia,no review provided,no review provided,4.7,Natural Landscapes,Riyadh Province,Riyadh,0.9907,2023-01,2023-01,Low Activity,Riyadh Province,1,Low,0.9907,0.923483333
17/12/2022,USER-A463,A-39,A Trip To The Edge of The World - Riyadh Province,Edge of the World Saudi Arabia,best of saudi tourism and wild hospitality safety measures in all trips generous meals and snacks  and very neat camps,Wadi Disah Saudi Arabia,no review provided,no review provided,4.7,Natural Landscapes,Riyadh Province,Riyadh,0.9273,2022-12,2022-12,Low Activity,Riyadh Province,1,Low,0.9273,0.923483333
30/10/2022,USER-A464,A-39,A Trip To The Edge of The World - Riyadh Province,Edge of the World Saudi Arabia,ghazi tours arranged our tour for the edge of the world omer helped me throughout booking the process he was fantastic the 44 vehicles were very good and clean the edge of world itself is an amazing place to visit if you are in riyadh also while returning back ghazi tours arranged for lovely dinner inside that national park boundary and it was an amazing experience the reason i kept 4 stars and not 5 because we went through some crazy experience while returning back driver was driving super fast on dirt track and at one point vehicle just rammmed into one of the big potholes and suddenly all side bags got deployed by suv we all were safe nothing happened to anyone and we also received apologies from tour owner but still i would suggest these drivers to drive with care on dirt road patch especially when it is dark,Wadi Disah Saudi Arabia,no review provided,no review provided,4.7,Natural Landscapes,Riyadh Province,Riyadh,0.9297,2022-10,2022-10,Low Activity,Riyadh Province,1,Low,0.9297,0.923483333
21/7/2021,USER-A465,A-39,A Trip To The Edge of The World - Riyadh Province,Edge of the World Saudi Arabia,ghazi tour is amazingmy family had unforgettable time at the edge of the world with mr umer and mr zahid from ghazi tour we had booked sunset tour with them they are very friendly they are very supportive and they make sure everyone enjoys the max in their comfort zone,Wadi Disah Saudi Arabia,no review provided,no review provided,4.7,Natural Landscapes,Riyadh Province,Riyadh,0.9199,2021-07,2021-07,Low Activity,Riyadh Province,1,Low,0.9199,0.923483333
9/10/2023,USER-A16,A-98,Abha High City - Asir Province,Abha High City,"one of the most genuinely beautiful places i have visited in saudi arabia was this place high city in abha i was very impressed with what i saw high city is a beautiful and welldesigned pedestrian area that offers stunning views of the surrounding mountains and valleys there are a variety of shops restaurants and cafes to choose from as well as a number of art installations and sculptures

i started my visit by exploring the shops and restaurants i found a variety of unique items to purchase and the food was delicious i also had the chance to try some of the local coffee which was excellent

after exploring the shops and restaurants i took some time to enjoy the views from high city the views are truly breathtaking i could see for miles in every direction i also enjoyed watching the people go by there were families couples and groups of friends all enjoying the beautiful weather and the stunning scenery

overall i had a wonderful time at high city abha it is a great place to relax and enjoy the beauty of the region i would highly recommend a visit to high city to anyone visiting abha

here are some of the things i liked most about my visit to high city abha

the stunning views
the variety of shops and restaurants
the art installations and sculptures
the relaxed and friendly atmosphere

i would definitely recommend high city abha to anyone looking for a fun and enjoyable day out it is a great place to relax and enjoy the beauty of the region",منتزه وادي ضرك، طريق سد وادي ضرك Saudi Arabia,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9987,2023-10,2023-10,High Activity,Aseer Province,6,Medium,0.9987,0.815566667
24/6/2024,USER-A415,A-98,Abha High City - Asir Province,Abha High City,high city in abha is a captivating place known for its stunning views and cool weather located on a mountain it offers breathtaking views of the surrounding area the place is popular for its charming cafes and restaurants where visitors can enjoy a variety of foods while enjoying the scenery high city also has beautifully landscaped parks and walking paths making it a great spot for relaxing and taking leisurely walks with its mix of natural beauty and modern amenities high city is a mustvisit in abha,Abu Kheyal Park,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9894,2024-06,2024-06,Low Activity,Aseer Province,3,Low,0.9894,0.815566667
25/6/2024,USER-A1074,A-98,Abha High City - Asir Province,Abha High City,"visiting the high city of abha was a delightful experience one that i would highly recommend to anyone seeking a blend of natural beauty cultural richness and a touch of modernity nestled in the stunning asir region this elevated city offers a unique escape from the typical saudi arabian landscape with its cooler climate and lush greenery

the first thing that struck me upon arrival was the breathtaking view the panoramic vistas of the surrounding mountains and valleys are simply unparalleled watching the sunset from one of the many viewpoints was a highlight of our trip as the sky transformed into a canvas of vibrant colors the city itself is beautifully maintained with clean streets wellkept parks and an overall charming atmosphere

cultural enthusiasts will appreciate the numerous historical sites and museums that offer a glimpse into the rich heritage of the region the traditional markets or souks are a treasure trove of local crafts textiles and spices providing a sensory feast and an excellent opportunity to purchase unique souvenirs i particularly enjoyed exploring the ancient mudbrick houses which stand as a testament to the areas architectural heritage

dining in abha is a culinary adventure the local cuisine is delicious with a variety of traditional dishes that are a musttry i highly recommend dining at some of the local eateries to experience the authentic flavors of the region additionally there are several modern cafes and restaurants that offer a more contemporary dining experience catering to all tastes

the hospitality of the people in abha is another aspect that makes this city stand out everywhere we went we were greeted with warm smiles and friendly conversations the locals are eager to share their culture and traditions making visitors feel welcome and at home

however i would have given a full five stars if it werent for the occasional difficulty in navigating the city some areas lack clear signage and public transportation options are limited making it challenging for firsttime visitors to get around without a private vehicle

overall the high city of abha is a gem that deserves to be explored its natural beauty cultural richness and welcoming atmosphere make it a destination worth visiting whether youre seeking adventure relaxation or a cultural experience abha has something to offer",Abu Kheyal Park,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9984,2024-06,2024-06,Low Activity,Aseer Province,2,Low,0.9984,0.815566667
1/7/2024,USER-A1217,A-98,Abha High City - Asir Province,Abha High City,"the high city very lovely place to spend some time and stunningly view  so much space and  many things to do around

many coffee shops and restaurants

the issue was car parking its difficult but there were waiting line for car parking",Abu Kheyal Park,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.2014,2024-07,2024-07,Low Activity,Aseer Province,1,Low,0.2014,0.815566667
17/5/2024,USER-A1218,A-98,Abha High City - Asir Province,Abha High City,theres so many cafes and restaurants inside high city for you to spend your time with the nice atmosphere and great view especially from the top it also suitable to spend it with your family,Abu Kheyal Park,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.8387,2024-05,2024-05,Low Activity,Aseer Province,1,Low,0.8387,0.815566667
13/4/2024,USER-A1219,A-98,Abha High City - Asir Province,Abha High City,this place is great the atmosphere is amazing and the view from here is simply stunning there are lots of restaurants and coffee shops nearby the vibe in the evening is good but its even better at night however if you want to enjoy the view i would recommend going in the evening,Abu Kheyal Park,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9615,2024-04,2024-04,Low Activity,Aseer Province,1,Low,0.9615,0.815566667
10/4/2024,USER-A1220,A-98,Abha High City - Asir Province,Abha High City,fantastic place to be with family must visit if you are in abha lil expensive for coffee and snacks  but worth it for the ambience and the views,Abu Kheyal Park,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.5647,2024-04,2024-04,Low Activity,Aseer Province,1,Low,0.5647,0.815566667
15/3/2024,USER-A1221,A-98,Abha High City - Asir Province,Abha High City,"there are a lot of restaurants and cafes around the place to spend some quality time with your friends and family  i highly recommend this place its a bit of a climb but the view from the top is totally worth it honestly i could spend the whole day there

this was a very nice place its still being builtupgraded but despite that their were still many cafes and restaurants that were open not only is it a great place for families but it is also a great place to visit to get away from the hustle and bustle of central abha its chilled out relaxed and offers stunning views of the mountains and the city from the top hence high city",Abu Kheyal Park,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9903,2024-03,2024-03,Low Activity,Aseer Province,1,Low,0.9903,0.815566667
27/2/2024,USER-A1222,A-98,Abha High City - Asir Province,Abha High City,i was amazed with this place beautiful for a first timer in abha high city made me fall in love,Abu Kheyal Park,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9062,2024-02,2024-02,Low Activity,Aseer Province,1,Low,0.9062,0.815566667
11/2/2024,USER-A1223,A-98,Abha High City - Asir Province,Abha High City,visited this place in abha breathtaking views topnotch sceneries absolute lovely weather a place where you can find dineouts of your choice and a number of cafes with perfect outdoorindoor sitting areas just enjoyed every single moment there,Abu Kheyal Park,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9337,2024-02,2024-02,Low Activity,Aseer Province,1,Low,0.9337,0.815566667
2/2/2024,USER-A1224,A-98,Abha High City - Asir Province,Abha High City,"high city in abha is a breathtaking city with stunning views featuring high end charming cafes and a beautiful cityscape

the panoramic views and the white foam reminiscent of snow make it exceptionally beautiful
it stands out as one of the finest areas in abha",منتزه وادي ضرك، طريق سد وادي ضرك Saudi Arabia,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9531,2024-02,2024-02,Low Activity,Aseer Province,1,Low,0.9531,0.815566667
30/12/2023,USER-A1225,A-98,Abha High City - Asir Province,Abha High City,was told to check it out that it is beautiful both day and night they werent lies if you get the chance come check it out great views and lots of places to get snacks as well as a couple restaurants it did rain and was cold i recommend a jacket,منتزه وادي ضرك، طريق سد وادي ضرك Saudi Arabia,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9426,2023-12,2023-12,Low Activity,Aseer Province,1,Low,0.9426,0.815566667
24/11/2023,USER-A1226,A-98,Abha High City - Asir Province,Abha High City,you should come and visit the hight city the sign is amazing and you can see the fog the place has many restaurants and cafes public restrooms are available,منتزه وادي ضرك، طريق سد وادي ضرك Saudi Arabia,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.5859,2023-11,2023-11,Low Activity,Aseer Province,1,Low,0.5859,0.815566667
21/11/2023,USER-A1227,A-98,Abha High City - Asir Province,Abha High City,superb place to visitthe climate  restaurants are amazingits not boaring to stay therebut toilet facility is not good and not cleanrecommended place all who go to abha,منتزه وادي ضرك، طريق سد وادي ضرك Saudi Arabia,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.4007,2023-11,2023-11,Low Activity,Aseer Province,1,Low,0.4007,0.815566667
3/10/2023,USER-A1228,A-98,Abha High City - Asir Province,Abha High City,"the place is breathtakingly beautiful i mean the dark touch of the night made it more stunning 

they offer a lot of shops in the area even hotel

you should check it out maybe weekdays the weather is 

went here in the afternoon but there were a lot of people so we went back at nightstill a lot lol

you better bring a nice camera for night views because abha offers a lot of beautiful place at dark times

oh we didnt ride the cable car",منتزه وادي ضرك، طريق سد وادي ضرك Saudi Arabia,no review provided,no review provided,4.5,Natural Landscapes,Aseer Province,Abha,0.9682,2023-10,2023-10,Low Activity,Aseer Province,1,Low,0.9682,0.815566667
7/4/2024,USER-A16,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,i been in this place for several times and every time i am visiting here is an amazing experience the place is the is absolutely perfect for muslims it is always backed with pilgrimage all across the world this place offers hotels malls restaurants coffee shops lounges hyper supermarkets boutique and a lot more a must recommended one for those visiting masjid al haram in makkah,No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.8742,2024-04,2024-04,High Activity,Aseer Province,6,Medium,0.8742,0.568927778
24/5/2024,USER-A119,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,"big giant building  closest to haram  heard there are 7 hotels in clock towers  mall is brilliant  a bit costly but items are unique  you  can get food brands here too

unique of its kind its the largest of all the  buildings there

must visit it when in makkah",No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.7783,2024-05,2024-05,Low Activity,Makkah Al Mukarramah Province,2,Low,0.7783,0.568927778
19/4/2024,USER-A1468,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,"many 5 star hotels super restaurants huge food courts open 24x7 ice creams  albaik indian food malaysian food turkish food etc etc
best idea is to enter the view restaurant and take open breakfast buffet cost sr  35 per head and enjoy multiple cuisines
lunch about sr 75 dinner sr 85",No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.9274,2024-04,2024-04,Low Activity,Al Madinah Al Munawwarah Province,2,Low,0.9274,0.568927778
26/7/2024,USER-A1543,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,signature landmark in makkah nice hotels and restaurant and  supermarket and the best thing is its just in front of haram and many hotels have kaaba view rooms very nice gift shops perfume shops are inside the royal clock tower alhamdulillah,No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.9228,2024-07,2024-07,Low Activity,Makkah Al Mukarramah Province,1,Low,0.9228,0.568927778
23/7/2024,USER-A1544,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,the clock towers are very beautiful from the outside its a truely beautiful thing to see and is amazing at night the inside has a huge mall which i absolutely love and walked around for hours the restaurants were very tasty like al baik and the pizza was the best i have ever had the rooms were nice and cold and were pretty average sized but nice quality now the bas parts are the view was very bad my room was facing a wall which gave us no view to look at except for a huge concrete wall i was definitely expecting better from this giant tower but ok the whole building was like a maze to find and took us days to get used to they should put clear signs of where to go upon entering from underground where the cars are there is this smell from the perfume which is do not like and hurts my throat each time i smell it that is something bad the final con i have about the clock towers is that the breakfast is very unpleasant and made me feel like i want to vomit each time there was just a few things i would stick to everyday since the others made me feel bad one good thing about the breakfast was the view down was absolutely astonishing i loved looking down and seeing everything this is all i have for today and my final thoughts are its a pretty good place but definitely could be a little better ,No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.9948,2024-07,2024-07,Low Activity,Makkah Al Mukarramah Province,1,Low,0.9948,0.568927778
9/7/2024,USER-A1545,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,"mr mohammed ilyas housekeeping trainee had provided us excellent service round the clock i was why my family in hotel he took very good care of our daily need

the hotel lift is not capable of handling the guest capacity one has to wait in long queue for lift some time more then 20 minutes just waiting for lift",No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.8476,2024-07,2024-07,Low Activity,Makkah Al Mukarramah Province,1,Low,0.8476,0.568927778
22/6/2024,USER-A1546,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,the perfect place to stay during hajj the rooms were very clean bathrooms were well maintained but there was a lack of staff to tend to the crowds there was low food but that makes sense due to the high crowds however this is why supermarkets exist even though it takes more effort atleast food is available,No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,-0.1787,2024-06,2024-06,Low Activity,Makkah Al Mukarramah Province,1,Low,-0.1787,0.568927778
20/6/2024,USER-A1547,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,it is right in the front of haram people staying there can take part in every time prayer it also has a shopping mall below with food court one can get all items here carrefour shop is also located,No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.0,2024-06,2024-06,Low Activity,Makkah Al Mukarramah Province,1,Low,0.0,0.568927778
4/1/2023,USER-A1548,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,"can person in charge contact me by emails me the detailsi would like to know how the process for rent inside makkah clock tower mall

thank you

jendelahqgmailcom",No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.6124,2023-01,2023-01,Low Activity,Makkah Al Mukarramah Province,3,Low,0.6124,0.568927778
4/1/2023,USER-A1548,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,"can person in charge contact me by emails me the detailsi would like to know how the process for rent inside makkah clock tower mall

thank you

jendelahqgmailcom",No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.6124,2023-01,2023-01,Low Activity,Makkah Al Mukarramah Province,3,Low,0.6124,0.568927778
4/1/2023,USER-A1548,A-124,Abraj Al Bait Towers - The Clock Towers Complex - Makkah,Abraj Al Bait,"can person in charge contact me by emails me the detailsi would like to know how the process for rent inside makkah clock tower mall

thank you

jendelahqgmailcom",No History,no review provided,no review provided,4.3,Religious Sites,Makkah Al Mukarramah Province,Makkah,0.6124,2023-01,2023-01,Low Activity,Makkah Al Mukarramah Province,3,Low,0.6124,0.568927778
